;Education;Marital_Status;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Education_Level;Age;Total_Campaigns_Accepted;Average_Spend;Spent;Is_Parent;total_spending;avg_web_visits;online_purchase_ratio
387;Graduation;Together;63381.0;0;1;78;571;50;142;33;50;159;4;4;5;13;2;0;0;0;0;0;0;0;High;63;0;251.25;1576;1;1005;0.16666666666666666;0.18181818181818182
388;Graduation;Together;38823.0;0;1;56;70;0;11;2;8;23;1;2;1;3;6;0;0;0;0;0;0;0;High;74;0;114.0;184;1;114;0.5;0.3333333333333333
389;PhD;Divorced;83664.0;1;1;57;866;21;151;28;21;86;3;2;2;12;5;0;0;0;0;0;0;0;High;55;0;391.0;2039;1;1173;0.4166666666666667;0.125
390;Graduation;Together;90300.0;0;0;7;594;134;786;33;134;57;0;5;6;8;1;0;0;1;0;0;0;0;High;44;1;inf;2332;0;1738;0.08333333333333333;0.2631578947368421
391;Master;Together;62499.0;1;0;0;140;4;61;0;13;4;2;3;1;6;4;0;0;0;0;0;0;0;High;44;0;111.0;362;1;222;0.3333333333333333;0.3
392;Graduation;Single;74293.0;0;0;66;375;152;335;93;91;81;1;5;4;6;2;0;0;0;0;0;0;0;High;30;0;1127.0;1502;0;1127;0.16666666666666666;0.3333333333333333
393;PhD;Married;51012.0;0;0;86;102;9;63;2;9;24;1;4;1;4;6;0;0;0;0;0;0;0;High;77;0;209.0;311;0;209;0.5;0.4444444444444444
394;Master;Married;70777.0;0;1;80;554;35;113;0;7;78;3;5;3;12;3;0;0;0;0;0;0;0;High;55;0;262.3333333333333;1341;1;787;0.25;0.25
395;PhD;Together;68682.0;0;0;56;919;0;505;99;30;45;1;4;9;10;2;0;0;0;0;0;0;0;High;32;0;1598.0;2517;0;1598;0.16666666666666666;0.17391304347826086
396;Graduation;Married;43824.0;1;1;18;96;1;42;12;3;32;4;3;1;4;8;0;0;0;0;0;0;0;High;52;0;46.5;282;1;186;0.6666666666666666;0.375
397;Graduation;Together;15345.0;1;0;51;5;2;16;3;2;19;2;1;1;2;8;0;0;0;0;0;0;1;High;39;0;23.5;52;1;47;0.6666666666666666;0.25
398;Graduation;Single;23442.0;1;0;71;2;0;6;8;6;5;1;1;0;3;7;0;0;0;0;0;0;0;High;36;0;27.0;29;1;27;0.5833333333333334;0.25
399;2n Cycle;Together;14515.0;1;0;71;6;4;9;6;36;35;4;2;2;3;7;0;0;0;0;0;0;1;Low;43;0;24.0;102;1;96;0.5833333333333334;0.2857142857142857
400;2n Cycle;Divorced;31395.0;1;1;80;23;1;25;0;8;7;4;2;1;3;6;0;0;0;0;0;0;0;Low;67;0;16.0;87;1;64;0.5;0.3333333333333333
401;Graduation;Together;75276.0;0;0;2;610;105;125;137;42;21;1;9;4;9;5;0;0;0;0;0;0;0;High;58;0;1040.0;1650;0;1040;0.4166666666666667;0.4090909090909091
402;Graduation;Single;42373.0;1;1;83;67;5;61;3;8;19;5;2;1;5;5;0;0;0;0;0;0;0;High;49;0;32.6;230;1;163;0.4166666666666667;0.25
403;Graduation;Together;30507.0;0;0;29;65;36;74;38;20;110;1;5;1;4;7;0;0;0;0;0;0;0;High;63;0;343.0;408;0;343;0.5833333333333334;0.5
404;PhD;Single;55521.0;1;2;11;416;0;26;0;0;4;9;6;3;6;7;0;1;0;0;0;0;1;High;68;1;49.55555555555556;862;1;446;0.5833333333333334;0.4
405;Graduation;Married;48006.0;1;1;55;23;0;11;3;2;2;1;1;0;3;6;0;0;0;0;0;0;0;High;58;0;41.0;64;1;41;0.5;0.25
406;PhD;Single;27213.0;1;0;19;19;3;26;10;9;3;3;2;0;4;8;0;0;0;0;0;0;1;High;51;0;23.333333333333332;89;1;70;0.6666666666666666;0.3333333333333333
407;PhD;Divorced;65808.0;1;1;1;155;7;80;13;7;10;3;5;1;5;6;0;0;0;0;0;0;0;High;52;0;90.66666666666667;427;1;272;0.5;0.45454545454545453
408;PhD;Together;30351.0;1;0;19;14;0;24;3;3;2;1;3;0;2;9;0;0;0;0;0;0;0;High;49;0;46.0;60;1;46;0.75;0.6
409;Graduation;Married;50437.0;0;2;28;370;9;92;6;9;4;3;7;1;8;7;0;0;0;0;0;0;0;High;60;0;163.33333333333334;860;1;490;0.5833333333333334;0.4375
410;2n Cycle;Single;23616.0;1;0;76;4;22;11;3;7;32;2;3;0;3;8;0;0;0;0;0;0;1;Low;41;0;39.5;83;1;79;0.6666666666666666;0.5
411;Graduation;Married;53858.0;0;1;50;407;53;221;58;150;26;4;4;3;6;4;0;0;0;0;0;0;0;High;47;0;228.75;1322;1;915;0.3333333333333333;0.3076923076923077
412;PhD;Married;66465.0;0;1;1;1200;0;204;38;29;14;3;11;9;12;6;0;0;0;1;0;0;0;High;68;1;495.0;2685;1;1485;0.5;0.34375
413;Graduation;Single;46923.0;1;0;90;85;44;54;102;78;6;3;5;1;7;7;0;0;0;0;0;0;0;High;36;0;123.0;454;1;369;0.5833333333333334;0.38461538461538464
414;Graduation;Together;75072.0;0;1;83;583;34;309;0;22;125;2;5;4;8;3;0;0;0;0;0;0;0;High;61;0;536.5;1656;1;1073;0.25;0.29411764705882354
415;PhD;Married;75865.0;0;0;73;483;0;591;156;0;12;1;3;5;10;1;0;0;0;0;0;0;0;High;80;0;1242.0;1725;0;1242;0.08333333333333333;0.16666666666666666
416;2n Cycle;Together;19789.0;1;0;24;2;5;9;28;6;28;3;2;1;3;5;1;0;0;0;0;0;0;Low;48;1;26.0;80;1;78;0.4166666666666667;0.3333333333333333
417;Graduation;Together;80134.0;0;0;11;966;26;282;52;26;26;1;2;7;11;5;0;1;1;1;1;0;0;High;29;4;1378.0;2344;0;1378;0.4166666666666667;0.1
418;Graduation;Single;91065.0;0;0;33;822;114;108;179;137;114;1;7;9;9;3;0;0;1;1;0;0;1;High;42;2;1474.0;2296;0;1474;0.25;0.28
419;Master;Married;49505.0;1;1;4;604;0;100;19;0;28;9;10;2;8;8;0;0;0;0;0;0;0;High;52;0;83.44444444444444;1355;1;751;0.6666666666666666;0.5
420;PhD;Married;37401.0;1;0;14;19;3;19;3;1;3;2;2;0;3;7;0;0;0;0;0;0;0;High;50;0;24.0;67;1;48;0.5833333333333334;0.4
421;Graduation;Married;30096.0;1;0;30;5;3;11;12;5;9;1;2;0;3;6;0;0;0;0;0;0;0;High;40;0;45.0;50;1;45;0.5;0.4
422;Master;Together;18492.0;1;0;75;2;2;2;2;1;1;1;1;0;2;8;0;0;0;0;0;0;0;High;41;0;10.0;12;1;10;0.6666666666666666;0.3333333333333333
423;Master;Married;82584.0;0;0;26;1076;68;103;29;91;68;1;3;4;8;1;0;1;1;0;0;0;1;High;49;2;1435.0;2511;0;1435;0.08333333333333333;0.2
424;PhD;Married;93027.0;0;0;77;1285;42;716;55;0;21;0;7;10;5;2;0;0;1;0;0;0;0;High;82;1;inf;3404;0;2119;0.16666666666666666;0.3181818181818182
425;Graduation;Married;48686.0;1;2;8;10;0;7;2;0;1;1;1;0;2;8;0;0;0;0;0;0;0;High;70;0;20.0;30;1;20;0.6666666666666666;0.3333333333333333
426;Graduation;Married;92910.0;0;0;42;551;137;792;179;103;33;1;6;7;13;1;0;1;1;1;0;0;0;High;37;3;1795.0;2346;0;1795;0.08333333333333333;0.23076923076923078
427;Graduation;Married;75433.0;1;0;28;800;0;297;0;34;57;2;2;5;10;6;0;1;0;1;0;0;0;High;34;2;594.0;1988;1;1188;0.5;0.11764705882352941
428;2n Cycle;Together;10404.0;1;0;52;2;2;11;10;6;12;2;1;0;4;5;0;0;0;0;0;0;0;Low;34;0;21.5;45;1;43;0.4166666666666667;0.2
429;Graduation;Married;61314.0;0;1;1;378;0;189;97;172;172;2;5;5;12;3;0;0;0;0;0;0;0;High;55;0;504.0;1386;1;1008;0.25;0.22727272727272727
430;PhD;Single;84865.0;0;0;1;1248;16;349;43;16;16;1;2;4;9;4;0;1;1;1;1;0;1;High;62;4;1688.0;2936;0;1688;0.3333333333333333;0.13333333333333333
431;Graduation;Married;42387.0;1;0;42;235;0;235;19;4;191;5;8;1;7;8;0;0;0;0;0;0;0;High;34;0;136.8;919;1;684;0.6666666666666666;0.5
432;2n Cycle;Together;67309.0;1;1;76;515;47;181;149;95;95;15;9;6;9;7;0;0;0;0;0;0;0;Low;56;0;72.13333333333334;1597;1;1082;0.5833333333333334;0.375
433;Graduation;Married;75236.0;0;1;27;438;66;400;12;38;114;1;8;3;13;4;0;0;0;0;0;0;0;High;59;0;1068.0;1506;1;1068;0.3333333333333333;0.3333333333333333
434;Graduation;Single;30015.0;1;0;28;25;0;22;2;3;5;2;1;0;4;5;0;0;0;0;0;0;0;High;53;0;28.5;82;1;57;0.4166666666666667;0.2
435;Master;Together;50943.0;0;1;49;31;0;7;2;0;6;1;1;0;3;5;0;0;0;0;0;0;0;High;67;0;46.0;77;1;46;0.4166666666666667;0.25
436;Graduation;Divorced;67272.0;0;1;12;357;35;271;28;28;14;3;6;2;12;5;0;0;0;0;0;0;0;High;57;0;244.33333333333334;1090;1;733;0.4166666666666667;0.3
437;Master;Widow;51529.0;0;1;14;400;4;35;6;0;22;2;9;1;5;8;0;0;0;0;0;0;0;High;74;0;233.5;867;1;467;0.6666666666666666;0.6
438;PhD;Married;32011.0;1;0;89;99;0;15;2;1;5;3;2;1;4;7;0;0;0;0;0;0;0;High;52;0;40.666666666666664;221;1;122;0.5833333333333334;0.2857142857142857
439;2n Cycle;Married;7500.0;1;0;96;1;11;5;4;6;9;2;2;0;3;8;0;0;0;0;0;0;0;Low;37;0;18.0;37;1;36;0.6666666666666666;0.4
440;Graduation;Married;28691.0;1;0;56;5;4;13;8;0;4;1;1;0;3;8;0;0;0;0;0;0;0;High;34;0;34.0;39;1;34;0.6666666666666666;0.25
441;PhD;Married;56223.0;0;1;72;77;28;31;16;0;4;2;2;1;5;4;0;0;0;0;0;0;0;High;75;0;78.0;233;1;156;0.3333333333333333;0.25
442;Graduation;Married;18100.0;0;0;14;3;1;2;4;3;1;1;0;0;3;5;0;0;0;0;0;0;0;High;77;0;14.0;17;0;14;0.4166666666666667;0.0
443;Graduation;Single;30279.0;1;0;13;10;4;14;4;4;1;1;1;0;3;8;0;0;0;0;0;0;0;High;34;0;37.0;47;1;37;0.6666666666666666;0.25
444;2n Cycle;Married;20130.0;0;0;99;0;6;3;7;6;12;1;1;0;3;8;0;0;0;0;0;0;0;Low;49;0;34.0;34;0;34;0.6666666666666666;0.25
445;Graduation;Divorced;23295.0;0;0;72;0;0;1;2;12;5;1;1;0;2;8;0;0;0;0;0;0;0;High;64;0;20.0;20;0;20;0.6666666666666666;0.3333333333333333
446;Master;Divorced;42618.0;1;0;92;76;14;74;13;5;10;2;5;0;4;8;0;0;0;0;0;0;0;High;51;0;96.0;268;1;192;0.6666666666666666;0.5555555555555556
447;Graduation;Single;81246.0;0;0;87;398;190;537;61;156;37;1;4;5;7;1;1;0;0;1;0;0;0;High;59;2;1379.0;1777;0;1379;0.08333333333333333;0.25
448;Graduation;Married;24027.0;1;0;7;14;7;11;11;0;5;2;2;0;3;8;0;0;0;0;0;0;0;High;47;0;24.0;62;1;48;0.6666666666666666;0.4
449;PhD;Married;55707.0;0;1;91;208;7;82;30;66;35;2;3;2;9;3;0;0;0;0;0;0;0;High;70;0;214.0;636;1;428;0.25;0.21428571428571427
450;Graduation;Single;57959.0;0;1;71;430;16;322;43;24;33;5;4;7;11;3;0;0;0;0;0;0;0;High;68;0;173.6;1298;1;868;0.25;0.18181818181818182
451;Graduation;Married;56796.0;0;1;24;656;38;161;62;47;37;3;8;9;7;7;0;0;0;0;0;0;0;High;54;0;333.6666666666667;1657;1;1001;0.5833333333333334;0.3333333333333333
452;Master;Single;36230.0;1;0;17;14;2;30;8;2;3;1;2;0;4;5;0;0;0;0;0;0;0;High;52;0;59.0;73;1;59;0.4166666666666667;0.3333333333333333
453;2n Cycle;Married;70829.0;1;1;87;141;70;106;72;19;23;2;4;2;8;3;0;0;0;0;0;0;0;Low;43;0;215.5;572;1;431;0.25;0.2857142857142857
454;Graduation;Married;65991.0;0;1;21;507;19;364;25;47;9;3;9;5;10;7;0;0;0;0;0;0;0;High;47;0;323.6666666666667;1478;1;971;0.5833333333333334;0.375
455;Graduation;Married;38988.0;1;2;90;164;24;103;12;3;42;7;5;1;6;8;0;0;0;0;0;0;0;High;51;0;49.714285714285715;512;1;348;0.6666666666666666;0.4166666666666667
456;2n Cycle;Single;89572.0;0;0;44;606;24;974;197;194;64;1;7;7;9;4;0;1;0;1;0;0;1;Low;57;2;2059.0;2665;0;2059;0.3333333333333333;0.30434782608695654
457;Master;Married;42207.0;1;0;71;116;11;72;3;17;46;4;4;1;5;6;1;0;0;0;0;0;1;High;39;1;66.25;381;1;265;0.5;0.4
458;Graduation;Married;50300.0;0;1;52;143;15;60;24;23;5;2;2;1;8;2;0;0;0;0;0;0;0;High;71;0;135.0;413;1;270;0.16666666666666666;0.18181818181818182
459;2n Cycle;Together;66664.0;0;0;78;398;96;447;220;96;32;1;5;7;6;3;0;0;0;0;0;0;0;Low;41;0;1289.0;1687;0;1289;0.25;0.2777777777777778
460;Graduation;Married;60597.0;0;1;2;522;0;257;32;16;66;4;2;2;8;7;0;0;0;1;0;0;1;High;59;1;223.25;1415;1;893;0.5833333333333334;0.16666666666666666
461;Graduation;Widow;70165.0;0;0;60;161;0;253;199;191;122;1;3;7;11;1;0;0;0;0;0;0;0;High;74;0;926.0;1087;0;926;0.08333333333333333;0.14285714285714285
462;PhD;Widow;50520.0;0;1;25;112;0;6;2;1;14;2;3;1;3;6;0;0;0;0;0;0;0;High;65;0;67.5;247;1;135;0.5;0.42857142857142855
463;Graduation;Married;80124.0;0;0;47;483;84;398;205;84;241;1;3;7;8;1;1;0;0;0;0;0;0;High;60;1;1495.0;1978;0;1495;0.08333333333333333;0.16666666666666666
464;Graduation;Married;33183.0;1;0;46;7;5;39;17;15;37;2;4;0;3;7;0;0;0;0;0;0;0;High;48;0;60.0;127;1;120;0.5833333333333334;0.5714285714285714
465;PhD;Single;66582.0;0;0;83;789;25;420;16;38;0;1;2;8;9;1;0;0;0;0;0;0;0;High;54;0;1288.0;2077;0;1288;0.08333333333333333;0.10526315789473684
466;PhD;Together;75261.0;0;0;17;1239;17;413;23;34;17;1;5;6;5;2;0;1;1;0;0;0;1;High;68;2;1743.0;2982;0;1743;0.16666666666666666;0.3125
467;Graduation;Widow;31880.0;1;0;13;4;1;5;2;0;3;1;1;0;2;8;0;0;0;0;0;0;0;High;53;0;15.0;19;1;15;0.6666666666666666;0.3333333333333333
468;Graduation;Married;53790.0;0;2;86;335;42;127;28;5;5;3;7;2;8;6;0;0;0;0;0;0;0;High;72;0;180.66666666666666;877;1;542;0.5;0.4117647058823529
469;PhD;Together;49269.0;1;0;92;639;8;166;11;8;58;3;7;3;12;7;0;0;0;0;0;0;0;High;52;0;296.6666666666667;1529;1;890;0.5833333333333334;0.3181818181818182
470;Graduation;Married;61456.0;0;1;47;563;76;384;84;192;89;4;6;10;13;4;0;0;0;0;0;0;0;High;48;0;347.0;1951;1;1388;0.3333333333333333;0.20689655172413793
471;Graduation;Married;37406.0;1;0;18;2;0;8;2;2;3;1;1;0;2;8;0;0;0;0;0;0;1;High;43;0;17.0;19;1;17;0.6666666666666666;0.3333333333333333
472;PhD;Together;56937.0;1;0;81;746;8;125;11;8;8;7;8;6;9;6;0;1;0;0;0;0;1;High;42;1;129.42857142857142;1652;1;906;0.5;0.34782608695652173
473;Graduation;Married;38415.0;1;1;91;22;1;13;4;0;4;2;1;0;3;7;0;0;0;0;0;0;0;High;45;0;22.0;66;1;44;0.5833333333333334;0.25
474;Graduation;Single;20518.0;1;0;58;4;1;6;4;1;9;1;1;1;2;5;0;0;0;0;0;0;0;High;35;0;25.0;29;1;25;0.4166666666666667;0.25
475;Graduation;Married;62503.0;0;1;40;478;0;193;110;75;117;4;8;3;11;5;0;0;0;0;0;0;0;High;67;0;243.25;1451;1;973;0.4166666666666667;0.36363636363636365
476;PhD;Single;41644.0;1;1;67;20;3;4;2;0;2;2;1;0;3;3;0;0;0;0;0;0;0;High;51;0;15.5;51;1;31;0.25;0.25
477;Master;Married;55842.0;0;1;19;451;0;39;0;4;24;1;7;1;8;5;0;0;0;0;0;0;0;High;46;0;518.0;969;1;518;0.4166666666666667;0.4375
478;PhD;Married;62010.0;0;1;93;371;22;39;6;0;92;4;6;2;7;5;0;0;0;0;0;0;0;High;51;0;132.5;901;1;530;0.4166666666666667;0.4
479;Graduation;Married;41124.0;1;0;41;281;7;84;15;0;119;7;7;3;4;8;0;0;0;0;0;0;0;High;46;0;72.28571428571429;787;1;506;0.6666666666666666;0.5
480;Master;Married;38961.0;1;0;60;19;7;19;0;1;24;1;2;1;2;7;0;0;0;0;0;0;0;High;50;0;70.0;89;1;70;0.5833333333333334;0.4
481;Master;Divorced;37760.0;1;0;54;26;3;13;2;10;0;1;2;0;3;6;0;0;0;0;0;0;0;High;51;0;54.0;80;1;54;0.5;0.4
482;Graduation;Single;32233.0;1;0;26;138;15;35;25;11;72;2;6;2;2;9;1;0;0;0;0;0;1;High;49;1;148.0;434;1;296;0.75;0.6
483;Graduation;Married;43057.0;0;1;30;213;2;44;0;2;5;4;4;2;5;5;0;0;0;0;0;0;0;High;48;0;66.5;479;1;266;0.4166666666666667;0.36363636363636365
484;Master;Together;83151.0;0;0;93;407;28;100;120;74;18;1;5;9;4;3;0;0;0;0;0;0;0;High;63;0;747.0;1154;0;747;0.25;0.2777777777777778
485;PhD;Divorced;78825.0;0;0;35;483;74;114;169;37;18;1;5;10;13;3;0;0;0;0;0;0;1;High;59;0;895.0;1378;0;895;0.25;0.17857142857142858
486;Master;Together;65104.0;0;1;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;0;0;High;47;0;526.5;1791;1;1053;0.5833333333333334;0.2
487;Graduation;Married;60093.0;0;1;92;502;12;109;16;6;90;2;7;2;10;6;0;0;0;0;0;0;0;High;49;0;367.5;1237;1;735;0.5;0.3684210526315789
488;Graduation;Married;14045.0;1;0;24;11;0;5;2;1;1;1;1;0;3;7;0;0;0;0;0;0;0;High;54;0;20.0;31;1;20;0.5833333333333334;0.25
489;2n Cycle;Widow;28457.0;0;0;96;24;1;108;29;29;14;1;4;1;4;8;0;0;0;0;0;0;0;Low;71;0;205.0;229;0;205;0.6666666666666666;0.4444444444444444
490;PhD;Together;78952.0;0;1;11;1170;19;594;99;76;134;2;2;5;12;6;0;0;0;0;0;0;0;High;65;0;1046.0;3262;1;2092;0.5;0.10526315789473684
491;Graduation;Divorced;46310.0;1;0;99;185;2;88;15;5;14;2;6;1;5;8;0;0;0;0;0;0;0;High;47;0;154.5;494;1;309;0.6666666666666666;0.5
492;Graduation;Together;76005.0;0;0;72;983;20;389;240;50;40;1;3;5;13;6;0;0;0;1;0;0;0;High;68;1;1722.0;2705;0;1722;0.5;0.14285714285714285
493;Master;Single;58308.0;0;1;77;691;0;69;10;0;130;4;2;6;3;8;0;0;0;0;0;0;0;High;59;0;225.0;1591;1;900;0.6666666666666666;0.18181818181818182
494;PhD;Divorced;55614.0;0;0;85;504;13;131;8;0;26;1;9;4;6;7;0;1;0;0;0;0;0;High;79;1;682.0;1186;0;682;0.5833333333333334;0.47368421052631576
495;Master;Divorced;59432.0;0;1;88;317;25;265;25;19;12;3;5;3;11;5;0;0;0;0;0;0;0;High;61;0;221.0;980;1;663;0.4166666666666667;0.2631578947368421
496;Graduation;Divorced;55563.0;0;1;22;29;1;9;2;0;2;1;2;0;3;3;0;0;0;0;0;0;0;High;45;0;43.0;72;1;43;0.25;0.4
497;PhD;Together;78642.0;0;1;83;1396;0;322;46;35;17;1;4;9;4;6;0;0;0;0;0;0;0;High;52;0;1816.0;3212;1;1816;0.5;0.23529411764705882
498;PhD;Together;67911.0;0;1;63;529;0;356;63;28;0;3;6;7;11;3;0;0;0;0;0;0;0;High;74;0;325.3333333333333;1505;1;976;0.25;0.25
499;Graduation;Married;65275.0;0;0;9;388;14;218;91;14;21;1;4;3;13;2;0;0;0;0;0;0;0;High;79;0;746.0;1134;0;746;0.16666666666666666;0.2
500;Graduation;Together;27203.0;1;1;92;13;2;21;4;0;24;2;1;1;2;8;0;0;0;0;0;0;0;High;73;0;32.0;77;1;64;0.6666666666666666;0.25
501;Master;Together;48330.0;0;1;2;28;0;4;0;0;0;1;1;0;3;5;0;0;0;0;0;0;0;High;62;0;32.0;60;1;32;0.4166666666666667;0.25
502;Basic;Married;24279.0;0;0;6;16;36;21;20;62;108;1;4;1;3;8;0;0;0;0;0;0;0;Middle;33;0;263.0;279;0;263;0.6666666666666666;0.5
503;PhD;Married;64355.0;1;0;66;1047;0;140;67;38;153;2;4;3;12;8;0;0;0;0;0;0;0;High;38;0;722.5;2492;1;1445;0.6666666666666666;0.21052631578947367
504;Master;Together;50943.0;0;1;49;31;0;7;2;0;6;1;1;0;3;5;0;0;0;0;0;0;0;High;67;0;46.0;77;1;46;0.4166666666666667;0.25
505;Graduation;Widow;53653.0;0;0;29;815;10;239;28;10;108;2;10;4;12;6;0;0;0;0;0;0;0;High;70;0;605.0;2025;0;1210;0.5;0.38461538461538464
506;Graduation;Married;65665.0;0;1;77;225;162;387;106;36;29;1;5;10;8;3;0;0;0;0;0;0;0;High;47;0;945.0;1170;1;945;0.25;0.21739130434782608
507;Graduation;Single;81217.0;0;0;77;493;70;324;146;40;84;1;3;7;11;1;0;0;0;0;0;0;0;High;34;0;1157.0;1650;0;1157;0.08333333333333333;0.14285714285714285
508;Graduation;Married;34935.0;0;0;71;34;4;66;3;10;20;1;2;1;4;7;0;0;0;0;0;0;0;High;31;0;137.0;171;0;137;0.5833333333333334;0.2857142857142857
509;Graduation;Divorced;61250.0;0;1;49;382;138;65;60;26;59;6;5;2;12;5;0;0;0;0;0;0;0;High;64;0;121.66666666666667;1112;1;730;0.4166666666666667;0.2631578947368421
510;PhD;Together;39665.0;1;0;97;127;1;56;0;1;31;3;4;2;3;7;1;0;0;0;0;0;0;High;42;1;72.0;343;1;216;0.5833333333333334;0.4444444444444444
511;Graduation;Single;60152.0;0;1;6;325;83;300;86;58;91;1;6;4;12;3;0;0;0;0;0;0;0;High;44;0;943.0;1268;1;943;0.25;0.2727272727272727
512;Graduation;Married;48920.0;0;2;93;238;17;68;8;10;6;3;6;2;5;7;0;1;0;0;0;0;0;High;59;1;115.66666666666667;585;1;347;0.5833333333333334;0.46153846153846156
513;Master;Together;89120.0;0;0;78;1168;92;408;72;129;55;1;5;6;7;1;0;0;1;0;0;0;0;High;64;1;1924.0;3092;0;1924;0.08333333333333333;0.2777777777777778
514;PhD;Together;44124.0;0;1;62;284;0;55;0;6;52;4;6;2;5;8;0;0;0;0;0;0;0;High;77;0;99.25;681;1;397;0.6666666666666666;0.46153846153846156
515;Master;Single;81169.0;0;0;47;1288;20;613;80;61;27;1;5;7;9;2;0;0;0;0;0;0;0;High;48;0;2089.0;3377;0;2089;0.16666666666666666;0.23809523809523808
516;Graduation;Married;36443.0;1;1;9;65;0;46;4;3;20;4;3;1;3;8;0;0;0;0;0;0;0;High;62;0;34.5;203;1;138;0.6666666666666666;0.42857142857142855
517;Graduation;Single;26095.0;1;0;77;11;7;9;3;1;11;1;1;0;3;7;0;0;0;0;0;0;0;High;33;0;42.0;53;1;42;0.5833333333333334;0.25
518;Graduation;Together;71367.0;0;0;24;227;23;389;42;21;75;1;4;5;7;2;0;0;0;0;0;0;0;High;64;0;777.0;1004;0;777;0.16666666666666666;0.25
519;Master;Married;80184.0;0;0;19;1035;134;670;25;38;0;1;6;3;10;3;0;0;1;1;0;0;0;High;79;2;1902.0;2937;0;1902;0.25;0.3157894736842105
520;Graduation;Divorced;30630.0;1;1;67;27;1;12;2;0;10;2;2;0;3;7;0;0;0;0;0;0;0;High;58;0;26.0;79;1;52;0.5833333333333334;0.4
521;Master;Single;73454.0;0;0;95;982;73;351;56;14;175;1;2;4;6;5;1;0;0;0;0;0;0;High;36;1;1651.0;2633;0;1651;0.4166666666666667;0.16666666666666666
522;Graduation;Married;42691.0;0;0;48;179;2;64;38;17;58;1;5;1;6;5;0;0;0;0;0;0;0;High;32;0;358.0;537;0;358;0.4166666666666667;0.4166666666666667
523;Graduation;Married;70503.0;0;0;73;1379;33;216;0;33;66;1;2;4;9;6;0;1;1;0;0;0;0;High;70;2;1727.0;3106;0;1727;0.5;0.13333333333333333
524;Graduation;Married;25545.0;1;0;35;32;1;64;16;12;85;3;2;2;3;6;0;0;0;0;0;0;1;High;36;0;70.0;242;1;210;0.5;0.2857142857142857
525;Graduation;Married;32880.0;1;0;76;8;4;15;7;6;2;1;1;0;3;8;0;0;0;0;0;0;0;High;37;0;42.0;50;1;42;0.6666666666666666;0.25
526;PhD;Together;77863.0;0;0;20;881;38;319;16;25;12;1;4;5;10;2;0;0;0;0;0;0;0;High;65;0;1291.0;2172;0;1291;0.16666666666666666;0.21052631578947367
527;Master;Married;50353.0;0;0;72;141;15;153;67;31;35;1;4;4;6;3;0;0;0;0;0;0;0;High;46;0;442.0;583;0;442;0.25;0.2857142857142857
528;Graduation;Single;61839.0;0;0;20;1000;155;379;224;17;120;1;4;8;4;8;0;0;0;0;0;0;0;High;59;0;1895.0;2895;0;1895;0.6666666666666666;0.25
529;PhD;Married;49154.0;1;1;69;206;10;67;30;27;71;6;4;1;8;6;0;0;0;0;0;0;0;High;63;0;68.5;617;1;411;0.5;0.3076923076923077
530;2n Cycle;Widow;47682.0;0;1;80;162;61;83;97;57;61;4;4;3;8;5;0;0;0;0;0;0;0;Low;48;0;130.25;683;1;521;0.4166666666666667;0.26666666666666666
531;Graduation;Single;72679.0;0;1;65;619;54;260;127;54;54;1;4;7;5;1;0;0;0;0;0;0;0;High;54;0;1168.0;1787;1;1168;0.08333333333333333;0.25
532;Master;Together;57954.0;1;1;52;456;4;24;0;0;9;7;8;2;6;7;0;1;0;0;0;0;0;High;46;1;70.42857142857143;949;1;493;0.5833333333333334;0.5
533;Graduation;Married;65316.0;1;1;65;112;6;92;3;9;38;2;3;2;5;4;0;0;0;0;0;0;0;High;61;0;130.0;372;1;260;0.3333333333333333;0.3
534;Graduation;Single;28567.0;1;0;57;11;3;22;2;2;6;2;2;0;3;6;0;0;0;0;0;0;0;High;41;0;23.0;57;1;46;0.5;0.4
535;Master;Together;47352.0;0;1;70;172;12;112;8;0;15;4;6;1;5;7;0;0;0;0;0;0;0;High;72;0;79.75;491;1;319;0.5833333333333334;0.5
536;Graduation;Together;44931.0;0;1;0;78;0;11;0;0;7;1;2;1;3;5;0;0;0;0;0;0;0;High;56;0;96.0;174;1;96;0.4166666666666667;0.3333333333333333
537;Graduation;Divorced;76982.0;0;0;19;464;151;292;65;60;30;1;8;3;4;4;0;0;1;0;0;0;1;High;56;1;1062.0;1526;0;1062;0.3333333333333333;0.5333333333333333
538;2n Cycle;Together;57247.0;0;1;50;99;4;32;37;54;6;2;2;1;7;2;0;0;0;0;0;0;0;Low;71;0;116.0;331;1;232;0.16666666666666666;0.2
539;Master;Single;22944.0;1;0;67;19;3;19;4;5;26;3;3;0;3;7;0;0;0;0;0;0;0;High;42;0;25.333333333333332;95;1;76;0.5833333333333334;0.5
540;2n Cycle;Together;25315.0;1;0;46;1;9;8;11;3;22;3;3;0;3;8;0;0;0;0;0;0;0;Low;46;0;18.0;55;1;54;0.6666666666666666;0.5
